500,550,600,650,700,750,800,850,900,950,1000
0,-12885,-23599,-32655,-40426,-47140,-52997,-58168,-62740,-66854,-70482
12885,0,-3628,-19770,-27541,-34255,-40112,-45283,-49855,-53969,-57597
23599,3628,0,-9056,-16827,-23541,-29398,-34569,-39141,-43255,-46883
32655,19770,9056,0,-7771,-14485,-20342,-25513,-30085,-34199,-37827
40426,27541,16827,7771,0,-6714,-12571,-17742,-22314,-26428,-30056
47140,34255,23541,14485,6714,0,-5857,-11028,-15600,-19714,-23342
52997,40112,29398,20342,12571,5857,0,-5171,-9743,-13857,-17485
58168,45283,34569,25513,17742,11028,5171,0,-4572,-8686,-12314
62740,49855,39141,30085,22314,15600,9743,4572,0,-4114,-7742
66854,53969,43255,34199,26428,19714,13857,8686,4114,0,-3628
70482,57597,46883,37827,30056,23342,17485,12314,7742,3628,0